id,text,ground_truth
1,"RBI keeps repo rate unchanged at 6.5% for the seventh consecutive time, focusing on inflation control.",LOW_RISK
2,"Sensex jumps 500 points as banking stocks rally on global cues.",LOW_RISK
3,"Breaking: Insider reveals guarantee that Nifty will hit 30,000 by next week! Buy fast!",HIGH_RISK
4,"Is the Indian economy causing a silent recession? Opinion.",MEDIUM_RISK
5,"Government launches new sovereign gold bond tranche; verified details inside.",LOW_RISK
6,"Make ₹50,000 daily with this secret trading bot app approved by Elon Musk.",HIGH_RISK
7,"HDFC Bank Q4 results show 15% net profit growth, meeting market expectations.",LOW_RISK
8,"Why real estate in Mumbai might crash soon - Expert Analysis.",MEDIUM_RISK
9,"Viral WhatsApp message claims government will ban ₹500 notes again tonight.",HIGH_RISK
10,"TCS announces 100% variable pay for mid-level employees in latest quarter.",LOW_RISK
11,"Crypto bans coming? Government sources hint at total prohibition in winter session.",MEDIUM_RISK
12,"Instant Loan App: Get ₹5 Lakhs in 5 minutes with no KYC! Apply Now!",HIGH_RISK
13,"Supreme Court declares electoral bonds scheme unconstitutional.",LOW_RISK
14,"5 stocks that can turn ₹1 lakh into ₹1 crore in just 1 month - Guaranteed!",HIGH_RISK
15,"Analysts predict moderate correction in small-cap sector due to high valuations.",LOW_RISK
16,"Rumours of a merger between two telecom giants spark speculative trading.",MEDIUM_RISK
17,"PM Modi inaugurates new terminal at Bengaluru airport, boosting connectivity.",LOW_RISK
18,"Exclusive: This penny stock is the next MRF! Operators are accumulating!",HIGH_RISK
19,"Indian rupee falls to all-time low against US dollar amid geopolitical tensions.",LOW_RISK
20,"Will AI steal your banking job? What experts are saying.",MEDIUM_RISK
21,"Invest ₹5000 in this solar energy scheme and get monthly pension of ₹50,000.",HIGH_RISK
22,"India's GST collection hits fresh record high in April.",LOW_RISK
23,"Leaked report says major IT firm is firing 30% of staff tomorrow.",MEDIUM_RISK
24,"Free Laptop Scheme 2026: Click here to register and claim your device.",HIGH_RISK
25,"Zomato profits surge, stock prices reacts positively to the news.",LOW_RISK
26,"Is 5G radiation killing birds in Delhi? A controversial theory.",HIGH_RISK
27,"Election Commission announces dates for Lok Sabha polls.",LOW_RISK
28,"Double your money in 21 days with Laxmi Chit Fund - Limited Slots!",HIGH_RISK
